name,cuisine,address,latitude,longitude,phone,formatted_phone_number,website,rating,types,reviews,user_ratings_total,price_level,vicinity,url,reservable,delivery,takeout,dine_in,serves_breakfast,serves_lunch,serves_dinner,serves_brunch,serves_beer,serves_wine,serves_vegetarian_food,curbside_pickup,permanently_closed,editorial_summary,opening_hours,current_opening_hours,secondary_opening_hours,photo,scrape_timestamp
Savya Rasa,Indian,"Gera Serenity Building, CTS No. 15, near Starbucks Cafe, Koregaon Park, Pune, Maharashtra 411001, India",18.5388527,73.8866766,,,,4.5,,,3544,3.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
"Copper Chimney, Viman Nagar",Indian,"3rd Floor, Phoenix Marketcity, Viman Nagar Rd, Clover Park, Viman Nagar, Pune, Maharashtra 411014, India",18.5625893,73.9169635,,,,4.7,,,9429,3.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
Vaishali Restaurant,Indian,"Fergusson College Rd, Ganeshwadi, Shivajinagar, Pune, Maharashtra 411004, India",18.5208838,73.84123699999999,,,,4.3,,,17492,2.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
George Restaurant,Indian,"2436, General Thimayya Road, East St, Camp, Pune, Maharashtra 411001, India",18.5174086,73.8793602,,,,4.1,,,16956,2.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
Feast India Co. Awadhi & Asian Restaurant,Indian,"22/7, 12, DS ikon building, upper ground, Lane Number 5, Laxman Nagar, Baner, Pune, Maharashtra 411045, India",18.5690901,73.77133549999999,,,,4.5,,,865,,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
Paasha,Indian,"JW Marriott, Senapati Bapat Rd, Laxmi Society, Model Colony, Shivajinagar, Pune, Maharashtra 411016, India",18.5319338,73.8296575,,,,4.4,,,4018,4.0,,,,,,,,,,,,,,,,,{'open_now': False},,,,2025-10-18T08:28:58.577316
Madhav Pure Veg,Indian,"Divadkar Apt, Next to Sohrab Hall Pune Railway station platform no.6 side Ahead of Sheraton Grand, near Balkrishna Sakharam Dhole Patil Road, Pune, Maharashtra 411001, India",18.5307694,73.8744917,,,,4.8,,,2773,,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
Zeera,Indian,"7, Mangaldas Rd, Sangamvadi, Pune, Maharashtra 411001, India",18.5346965,73.882965,,,,4.7,,,290,,,,,,,,,,,,,,,,,,{'open_now': False},,,,2025-10-18T08:28:58.577316
Shabree Restaurant-Pune,Indian,"1199, 1A, behind Tukaram Paduka Temple, Shivajinagar, Pune, Maharashtra 411004, India",18.5245066,73.8416289,,,,4.2,,,5234,,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
ANNA,Indian,"1201 A/13, Shirole Road, opposite FERGUSSON COLLEGE, Shivajinagar, Pune, Maharashtra 411004, India",18.522644,73.8420062,,,,4.2,,,3698,2.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
Spice Kitchen,Indian,"Lobby Level, West JW Marriott, Senapati Bapat Rd, Laxmi Society, Model Colony, Shivajinagar, Pune, Maharashtra 411016, India",18.5320462,73.82964849999999,,,,4.4,,,3216,4.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
Horn Ok Please,Indian,"Goodluck Chowk, 1229/A Narhari, Fergusson College Rd, near Sagar Arcade, Pune, Maharashtra 411004, India",18.5184609,73.8415737,,,,4.0,,,2730,2.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
RamKrishna Restaurant,Indian,"6, Moledina Rd, opposite Westend Theatre, Camp, Pune, Maharashtra 411001, India",18.5189232,73.8785261,,,,4.3,,,14108,2.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
The Great Punjab Koregaon Park,Indian,"No 5, Jewel Tower, Lane Number 5, Ashok Chakra Society, Meera Nagar, Koregaon Park, Pune, Maharashtra 411001, India",18.5364514,73.8974664,,,,4.1,,,1671,3.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
Mutuswami Cafe Pune,Indian,"Ramee Grand Hotel and Spa 3, Plot no 587, Apte Rd, Shivajinagar, Pune, Maharashtra 411004, India",18.5204012,73.843553,,,,4.4,,,1011,2.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
"Mystic Masala Restaurant - Blue Diamond, Pune",Indian,"Blue Diamond-IHCL SeleQtions, 11, Koregaon Rd, Koregaon Park, Pune, Maharashtra 411001, India",18.538199,73.886309,,,,4.3,,,162,3.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
Aahar Udipi's,Indian,"Balkrishna Sakharam Dhole Patil Rd, Sangamvadi, Pune, Maharashtra 411001, India",18.534865,73.8783844,,,,4.5,,,1214,2.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
Bamboo House,Indian,"S. No 365, 65/16, Jangali Maharaj Rd, Shivajinagar, Pune, Maharashtra 411005, India",18.5265802,73.85136800000001,,,,3.9,,,5253,2.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
Shahji’s Parantha House (Lakshmi Road),Indian,"5, Devang Apts, 1036, Laxmi Rd, Kapad Ganj, Raviwar Peth, Pune, Maharashtra 411002, India",18.5160179,73.8616485,,,,4.3,,,4021,2.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
Banana Leaf Kalyani Nagar Pune,Indian,"1st, Lane Number 2A, Corniche Tower, opposite to icici bank, Kalyani Nagar, Pune, Maharashtra 411006, India",18.547923,73.9004793,,,,4.0,,,1327,2.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
Savya Rasa,Indian,"Gera Serenity Building, CTS No. 15, near Starbucks Cafe, Koregaon Park, Pune, Maharashtra 411001, India",18.5388527,73.8866766,,,,4.5,,,3544,3.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
"Copper Chimney, Viman Nagar",Indian,"3rd Floor, Phoenix Marketcity, Viman Nagar Rd, Clover Park, Viman Nagar, Pune, Maharashtra 411014, India",18.5625893,73.9169635,,,,4.7,,,9429,3.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
Vaishali Restaurant,Indian,"Fergusson College Rd, Ganeshwadi, Shivajinagar, Pune, Maharashtra 411004, India",18.5208838,73.84123699999999,,,,4.3,,,17492,2.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
George Restaurant,Indian,"2436, General Thimayya Road, East St, Camp, Pune, Maharashtra 411001, India",18.5174086,73.8793602,,,,4.1,,,16956,2.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
Feast India Co. Awadhi & Asian Restaurant,Indian,"22/7, 12, DS ikon building, upper ground, Lane Number 5, Laxman Nagar, Baner, Pune, Maharashtra 411045, India",18.5690901,73.77133549999999,,,,4.5,,,865,,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
Paasha,Indian,"JW Marriott, Senapati Bapat Rd, Laxmi Society, Model Colony, Shivajinagar, Pune, Maharashtra 411016, India",18.5319338,73.8296575,,,,4.4,,,4018,4.0,,,,,,,,,,,,,,,,,{'open_now': False},,,,2025-10-18T08:28:58.577316
Madhav Pure Veg,Indian,"Divadkar Apt, Next to Sohrab Hall Pune Railway station platform no.6 side Ahead of Sheraton Grand, near Balkrishna Sakharam Dhole Patil Road, Pune, Maharashtra 411001, India",18.5307694,73.8744917,,,,4.8,,,2773,,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
Zeera,Indian,"7, Mangaldas Rd, Sangamvadi, Pune, Maharashtra 411001, India",18.5346965,73.882965,,,,4.7,,,290,,,,,,,,,,,,,,,,,,{'open_now': False},,,,2025-10-18T08:28:58.577316
Shabree Restaurant-Pune,Indian,"1199, 1A, behind Tukaram Paduka Temple, Shivajinagar, Pune, Maharashtra 411004, India",18.5245066,73.8416289,,,,4.2,,,5234,,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
ANNA,Indian,"1201 A/13, Shirole Road, opposite FERGUSSON COLLEGE, Shivajinagar, Pune, Maharashtra 411004, India",18.522644,73.8420062,,,,4.2,,,3698,2.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
Spice Kitchen,Indian,"Lobby Level, West JW Marriott, Senapati Bapat Rd, Laxmi Society, Model Colony, Shivajinagar, Pune, Maharashtra 411016, India",18.5320462,73.82964849999999,,,,4.4,,,3216,4.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
Horn Ok Please,Indian,"Goodluck Chowk, 1229/A Narhari, Fergusson College Rd, near Sagar Arcade, Pune, Maharashtra 411004, India",18.5184609,73.8415737,,,,4.0,,,2730,2.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
RamKrishna Restaurant,Indian,"6, Moledina Rd, opposite Westend Theatre, Camp, Pune, Maharashtra 411001, India",18.5189232,73.8785261,,,,4.3,,,14108,2.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
The Great Punjab Koregaon Park,Indian,"No 5, Jewel Tower, Lane Number 5, Ashok Chakra Society, Meera Nagar, Koregaon Park, Pune, Maharashtra 411001, India",18.5364514,73.8974664,,,,4.1,,,1671,3.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
Mutuswami Cafe Pune,Indian,"Ramee Grand Hotel and Spa 3, Plot no 587, Apte Rd, Shivajinagar, Pune, Maharashtra 411004, India",18.5204012,73.843553,,,,4.4,,,1011,2.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
"Mystic Masala Restaurant - Blue Diamond, Pune",Indian,"Blue Diamond-IHCL SeleQtions, 11, Koregaon Rd, Koregaon Park, Pune, Maharashtra 411001, India",18.538199,73.886309,,,,4.3,,,162,3.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
Aahar Udipi's,Indian,"Balkrishna Sakharam Dhole Patil Rd, Sangamvadi, Pune, Maharashtra 411001, India",18.534865,73.8783844,,,,4.5,,,1214,2.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
Bamboo House,Indian,"S. No 365, 65/16, Jangali Maharaj Rd, Shivajinagar, Pune, Maharashtra 411005, India",18.5265802,73.85136800000001,,,,3.9,,,5253,2.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
Shahji’s Parantha House (Lakshmi Road),Indian,"5, Devang Apts, 1036, Laxmi Rd, Kapad Ganj, Raviwar Peth, Pune, Maharashtra 411002, India",18.5160179,73.8616485,,,,4.3,,,4021,2.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
Banana Leaf Kalyani Nagar Pune,Indian,"1st, Lane Number 2A, Corniche Tower, opposite to icici bank, Kalyani Nagar, Pune, Maharashtra 411006, India",18.547923,73.9004793,,,,4.0,,,1327,2.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
Savya Rasa,Indian,"Gera Serenity Building, CTS No. 15, near Starbucks Cafe, Koregaon Park, Pune, Maharashtra 411001, India",18.5388527,73.8866766,,,,4.5,,,3544,3.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
"Copper Chimney, Viman Nagar",Indian,"3rd Floor, Phoenix Marketcity, Viman Nagar Rd, Clover Park, Viman Nagar, Pune, Maharashtra 411014, India",18.5625893,73.9169635,,,,4.7,,,9429,3.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
Vaishali Restaurant,Indian,"Fergusson College Rd, Ganeshwadi, Shivajinagar, Pune, Maharashtra 411004, India",18.5208838,73.84123699999999,,,,4.3,,,17492,2.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
George Restaurant,Indian,"2436, General Thimayya Road, East St, Camp, Pune, Maharashtra 411001, India",18.5174086,73.8793602,,,,4.1,,,16956,2.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
Feast India Co. Awadhi & Asian Restaurant,Indian,"22/7, 12, DS ikon building, upper ground, Lane Number 5, Laxman Nagar, Baner, Pune, Maharashtra 411045, India",18.5690901,73.77133549999999,,,,4.5,,,865,,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
Paasha,Indian,"JW Marriott, Senapati Bapat Rd, Laxmi Society, Model Colony, Shivajinagar, Pune, Maharashtra 411016, India",18.5319338,73.8296575,,,,4.4,,,4018,4.0,,,,,,,,,,,,,,,,,{'open_now': False},,,,2025-10-18T08:28:58.577316
Madhav Pure Veg,Indian,"Divadkar Apt, Next to Sohrab Hall Pune Railway station platform no.6 side Ahead of Sheraton Grand, near Balkrishna Sakharam Dhole Patil Road, Pune, Maharashtra 411001, India",18.5307694,73.8744917,,,,4.8,,,2773,,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
Zeera,Indian,"7, Mangaldas Rd, Sangamvadi, Pune, Maharashtra 411001, India",18.5346965,73.882965,,,,4.7,,,290,,,,,,,,,,,,,,,,,,{'open_now': False},,,,2025-10-18T08:28:58.577316
Shabree Restaurant-Pune,Indian,"1199, 1A, behind Tukaram Paduka Temple, Shivajinagar, Pune, Maharashtra 411004, India",18.5245066,73.8416289,,,,4.2,,,5234,,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
ANNA,Indian,"1201 A/13, Shirole Road, opposite FERGUSSON COLLEGE, Shivajinagar, Pune, Maharashtra 411004, India",18.522644,73.8420062,,,,4.2,,,3698,2.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
Spice Kitchen,Indian,"Lobby Level, West JW Marriott, Senapati Bapat Rd, Laxmi Society, Model Colony, Shivajinagar, Pune, Maharashtra 411016, India",18.5320462,73.82964849999999,,,,4.4,,,3216,4.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
Horn Ok Please,Indian,"Goodluck Chowk, 1229/A Narhari, Fergusson College Rd, near Sagar Arcade, Pune, Maharashtra 411004, India",18.5184609,73.8415737,,,,4.0,,,2730,2.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
RamKrishna Restaurant,Indian,"6, Moledina Rd, opposite Westend Theatre, Camp, Pune, Maharashtra 411001, India",18.5189232,73.8785261,,,,4.3,,,14108,2.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
The Great Punjab Koregaon Park,Indian,"No 5, Jewel Tower, Lane Number 5, Ashok Chakra Society, Meera Nagar, Koregaon Park, Pune, Maharashtra 411001, India",18.5364514,73.8974664,,,,4.1,,,1671,3.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
Mutuswami Cafe Pune,Indian,"Ramee Grand Hotel and Spa 3, Plot no 587, Apte Rd, Shivajinagar, Pune, Maharashtra 411004, India",18.5204012,73.843553,,,,4.4,,,1011,2.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
"Mystic Masala Restaurant - Blue Diamond, Pune",Indian,"Blue Diamond-IHCL SeleQtions, 11, Koregaon Rd, Koregaon Park, Pune, Maharashtra 411001, India",18.538199,73.886309,,,,4.3,,,162,3.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
Aahar Udipi's,Indian,"Balkrishna Sakharam Dhole Patil Rd, Sangamvadi, Pune, Maharashtra 411001, India",18.534865,73.8783844,,,,4.5,,,1214,2.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
Bamboo House,Indian,"S. No 365, 65/16, Jangali Maharaj Rd, Shivajinagar, Pune, Maharashtra 411005, India",18.5265802,73.85136800000001,,,,3.9,,,5253,2.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
Shahji’s Parantha House (Lakshmi Road),Indian,"5, Devang Apts, 1036, Laxmi Rd, Kapad Ganj, Raviwar Peth, Pune, Maharashtra 411002, India",18.5160179,73.8616485,,,,4.3,,,4021,2.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
Banana Leaf Kalyani Nagar Pune,Indian,"1st, Lane Number 2A, Corniche Tower, opposite to icici bank, Kalyani Nagar, Pune, Maharashtra 411006, India",18.547923,73.9004793,,,,4.0,,,1327,2.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:28:58.577316
Chinese Room,Chinese,"2434, East St, Hulshur, Camp, Pune, Maharashtra 411001, India",18.5167051,73.8794552,,,,4.2,,,2806,2.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:29:06.042770
Kimling Chinese Cuisine,Chinese,"SR Chambers, 161/162, Nagras Rd, opp. Tangent Furniture, Suvarnayug Society, Ward No. 8, Aundh, Pune, Maharashtra 411067, India",18.5657938,73.8037098,,,,4.0,,,3428,2.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:29:06.042770
TIAN - The Oriental Kitchen,Chinese,"Showroom No 1, Pradeep Chambers, Law College Rd, Shivajinagar, Pune, Maharashtra 411004, India",18.5191543,73.8305353,,,,4.8,,,857,,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:29:06.042770
Asia Kitchen by Mainland China | Boat Club Rd,Chinese,"Ground Floor, City Point, Dhole Patil Road, Near, Boat Club Rd, Pune, Maharashtra 411001, India",18.538896,73.8753565,,,,4.3,,,1465,3.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:29:06.042770
Chung fa Chinese Restaurant,Chinese,"2435, East St, opp. Bajaj Electrical Showroom, Hulshur, Camp, Pune, Maharashtra 411001, India",18.5169843,73.8793687,,,,4.0,,,2219,2.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:29:06.042770
Suonmoi,Chinese,"11, GVPH+XRM Century Arcade, Narangi Baug Rd, Vrindavan Park Society, Sangamvadi, Pune, Maharashtra 411001, India",18.5375513,73.87964819999999,,,,4.4,,,1485,2.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:29:06.042770
China Grill,Chinese,"Shop No. 1, Ground Floor, Green Valley Rd, Wanowrie, Pune, Maharashtra 411040, India",18.4877478,73.8990312,,,,4.1,,,2440,2.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:29:06.042770
Little China,Chinese,"Shop NO 10, Sunshree Suntec, NIBM Rd, Kondhwa, Pune, Maharashtra 411048, India",18.4783323,73.9016655,,,,4.6,,,1463,,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:29:06.042770
China Grill,Chinese,"Shop no.7, Prasun Plaza, near Ganpati Mandir Chowk, Clover Park, Viman Nagar, Pune, Maharashtra 411014, India",18.5667107,73.9187597,,,,4.0,,,1824,3.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:29:06.042770
Mainland China | ICC Tech Park Road,Chinese,"ICC Tech Park, Tower A, Senapati Bapat Rd, Laxmi Society, Model Colony, Shivajinagar, Pune, Maharashtra 411016, India",18.5315639,73.8293783,,,,4.2,,,1460,3.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:29:06.042770
Royal China Delivery,Chinese,"26/13-D, Plot 373, Power Plaza, Upper Ground Floor, Lane, 7, Koregaon Rd, Pune, Maharashtra 411001, India",18.5387602,73.9060156,,,,4.4,,,115,,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:29:06.042770
Tao-Fu,Chinese,"JW MARRIOTT HOTEL, Level, 1, Senapati Bapat Rd, Shivajinagar, Pune, Maharashtra 411016, India",18.5323149,73.8296443,,,,4.6,,,208,,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:29:06.042770
Two Sticks,Chinese,"Shop No.7B, Malpani Agile, Baner High St, Baner, Pune, Maharashtra 411069, India",18.5568839,73.77664519999999,,,,4.1,,,1454,2.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:29:06.042770
Koji,Chinese,"Lobby Level, 7, Mangaldas Rd, Sangamvadi, Pune, Maharashtra 411001, India",18.5350077,73.8832383,,,,4.8,,,1361,,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:29:06.042770
Uncle's Chinese,Chinese,"601, Sachapir St, Camp, Pune, Maharashtra 411001, India",18.5157241,73.8749524,,,,4.6,,,627,,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:29:06.042770
Gong Modern Asian | Pune,Chinese,"Shop No:-22/23, Balewadi High Street Balewadi, Link Road, Laxman Nagar, Baner, Pune, Maharashtra 411045, India",18.570416,73.7741518,,,,4.4,,,3771,3.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:29:06.042770
Baan Tao,Chinese,"Hyatt Pune, 88, Pune Nagar Rd, adjacent to AGA KHAN PALACE, Kalyani Nagar, Pune, Maharashtra 411006, India",18.5541227,73.9047843,,,,4.3,,,636,4.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:29:06.042770
Wok Toss – Pan Asian restaurant,Chinese,"Wok toss, 132/A, University Road, Premnagar, Ganeshkhind, Shivajinagar, Pune, Maharashtra 411016, India",18.5379812,73.8356909,,,,4.3,,,159,,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:29:06.042770
"Whispering Bamboo Restaurant - Blue Diamond, Pune",Chinese,"Blue Diamond, Pune - IHCL SeleQtions 11, Koregaon Rd, Pune, Maharashtra 411001, India",18.5382193,73.8861268,,,,4.2,,,46,,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:29:06.042770
The Chinese Factory,Chinese,"fire brigade station, Front, Kothrud, Pune, Maharashtra 411038, India",18.4987381,73.8139052,,,,4.7,,,627,,,,,,,,,,,,,,,,,,{'open_now': False},,,,2025-10-18T08:29:06.042770
Chinese Room,Chinese,"2434, East St, Hulshur, Camp, Pune, Maharashtra 411001, India",18.5167051,73.8794552,,,,4.2,,,2806,2.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:29:06.042770
Kimling Chinese Cuisine,Chinese,"SR Chambers, 161/162, Nagras Rd, opp. Tangent Furniture, Suvarnayug Society, Ward No. 8, Aundh, Pune, Maharashtra 411067, India",18.5657938,73.8037098,,,,4.0,,,3428,2.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:29:06.042770
TIAN - The Oriental Kitchen,Chinese,"Showroom No 1, Pradeep Chambers, Law College Rd, Shivajinagar, Pune, Maharashtra 411004, India",18.5191543,73.8305353,,,,4.8,,,857,,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:29:06.042770
Asia Kitchen by Mainland China | Boat Club Rd,Chinese,"Ground Floor, City Point, Dhole Patil Road, Near, Boat Club Rd, Pune, Maharashtra 411001, India",18.538896,73.8753565,,,,4.3,,,1465,3.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:29:06.042770
Chung fa Chinese Restaurant,Chinese,"2435, East St, opp. Bajaj Electrical Showroom, Hulshur, Camp, Pune, Maharashtra 411001, India",18.5169843,73.8793687,,,,4.0,,,2219,2.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:29:06.042770
Suonmoi,Chinese,"11, GVPH+XRM Century Arcade, Narangi Baug Rd, Vrindavan Park Society, Sangamvadi, Pune, Maharashtra 411001, India",18.5375513,73.87964819999999,,,,4.4,,,1485,2.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:29:06.042770
China Grill,Chinese,"Shop No. 1, Ground Floor, Green Valley Rd, Wanowrie, Pune, Maharashtra 411040, India",18.4877478,73.8990312,,,,4.1,,,2440,2.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:29:06.042770
Little China,Chinese,"Shop NO 10, Sunshree Suntec, NIBM Rd, Kondhwa, Pune, Maharashtra 411048, India",18.4783323,73.9016655,,,,4.6,,,1463,,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:29:06.042770
China Grill,Chinese,"Shop no.7, Prasun Plaza, near Ganpati Mandir Chowk, Clover Park, Viman Nagar, Pune, Maharashtra 411014, India",18.5667107,73.9187597,,,,4.0,,,1824,3.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:29:06.042770
Mainland China | ICC Tech Park Road,Chinese,"ICC Tech Park, Tower A, Senapati Bapat Rd, Laxmi Society, Model Colony, Shivajinagar, Pune, Maharashtra 411016, India",18.5315639,73.8293783,,,,4.2,,,1460,3.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:29:06.042770
Royal China Delivery,Chinese,"26/13-D, Plot 373, Power Plaza, Upper Ground Floor, Lane, 7, Koregaon Rd, Pune, Maharashtra 411001, India",18.5387602,73.9060156,,,,4.4,,,115,,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:29:06.042770
Tao-Fu,Chinese,"JW MARRIOTT HOTEL, Level, 1, Senapati Bapat Rd, Shivajinagar, Pune, Maharashtra 411016, India",18.5323149,73.8296443,,,,4.6,,,208,,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:29:06.042770
Two Sticks,Chinese,"Shop No.7B, Malpani Agile, Baner High St, Baner, Pune, Maharashtra 411069, India",18.5568839,73.77664519999999,,,,4.1,,,1454,2.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:29:06.042770
Koji,Chinese,"Lobby Level, 7, Mangaldas Rd, Sangamvadi, Pune, Maharashtra 411001, India",18.5350077,73.8832383,,,,4.8,,,1361,,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:29:06.042770
Uncle's Chinese,Chinese,"601, Sachapir St, Camp, Pune, Maharashtra 411001, India",18.5157241,73.8749524,,,,4.6,,,627,,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:29:06.042770
Gong Modern Asian | Pune,Chinese,"Shop No:-22/23, Balewadi High Street Balewadi, Link Road, Laxman Nagar, Baner, Pune, Maharashtra 411045, India",18.570416,73.7741518,,,,4.4,,,3771,3.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:29:06.042770
Baan Tao,Chinese,"Hyatt Pune, 88, Pune Nagar Rd, adjacent to AGA KHAN PALACE, Kalyani Nagar, Pune, Maharashtra 411006, India",18.5541227,73.9047843,,,,4.3,,,636,4.0,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:29:06.042770
Wok Toss – Pan Asian restaurant,Chinese,"Wok toss, 132/A, University Road, Premnagar, Ganeshkhind, Shivajinagar, Pune, Maharashtra 411016, India",18.5379812,73.8356909,,,,4.3,,,159,,,,,,,,,,,,,,,,,,{'open_now': True},,,,2025-10-18T08:29:06.042770
